ID,Barnesiella,Odoribacter,Cloacibacillus,Mitsuokella,Fusobacterium,Unc.Lachnospiraceae,Unc.Coriobacteriales_Incertae_Sedis,Hydrogenoanaerobacterium,Unc.Rhodospirillales,Parasutterella,Phascolarctobacterium,Ruminococcus,[Eubacterium]_coprostanoligenes_group,Christensenellaceae_R-7_group,UCG-002,Acidaminococcus,Parabacteroides,Alistipes,Prevotella,Bacteroides,Unc.Erysipelotrichaceae,Collinsella,UCG-010,Lachnospiraceae_UCG-004,Unc.Oscillospiraceae,Lachnoclostridium,Dorea,Bilophila,Faecalibacterium,Unc.Ruminococcaceae,Subdoligranulum,Porphyromonas,Unc.Prevotellaceae,Lachnospiraceae_NK4A136_group,Colidextribacter,[Eubacterium]_eligens_group,Bifidobacterium,Blautia,Fusicatenibacter,Unc.Burkholderiales,Monoglobus,UCG-005,Oscillibacter,Erysipelatoclostridium,Megamonas,Butyricimonas,Paraprevotella,Holdemanella,Coprobacillus,Erysipelotrichaceae_UCG-003,Tyzzerella,Flavonifractor,Campylobacter,Haemophilus,Unc.Desulfovibrionaceae,Peptococcus,Incertae_Sedis,Streptococcus,Gemella,Dialister,Veillonella,Megasphaera,Actinomyces,Clostridia_UCG-014,Prevotellaceae_NK3B31_group,Butyricicoccus,Fretibacterium,Roseburia,Adlercreutzia,Unc.Victivallales,Escherichia-Shigella,Aggregatibacter,Sutterella,Lautropia,Clostridia_vadinBB60_group,DTU089,Unc.Synergistaceae,Granulicatella,Oscillospira,Coprobacter,Unc.Barnesiellaceae,Muribaculaceae,Rikenellaceae_RC9_gut_group,Alloprevotella,Leptotrichia,[Eubacterium]_hallii_group,NK4A214_group,Unc.Erysipelatoclostridiaceae,Anaerostipes,Lachnospira,Akkermansia,Ralstonia,Neisseria,Desulfovibrio,Negativibacillus,Enterococcus,Unc.Christensenellaceae,Gastranaerophilales,[Ruminococcus]_torques_group,Family_XIII_AD3011_group,[Ruminococcus]_gnavus_group,Unc.Selenomonadaceae,RF39,Libanicoccus,Family_XIII_UCG-001,Romboutsia,Catenibacterium,Agathobacter,Selenomonas,Lachnospiraceae_ND3007_group,Rothia,Oxalobacter,[Eubacterium]_siraeum_group,Intestinibacter
BA-0037,0,0,0,0,0,4.6716317,0,0,1.7716091,1.6587678,0.3272399,5.2245543,0,3.1482735,1.4105168,0,2.7984654,5.2922591,0,22.5457007,0,0,1.2976755,0,1.2976755,0,0,1.1284135,6.9397427,0,3.4529452,0,9.7156398,2.5389303,0,0,0,0,0,5.0665764,0,0,0,0,0,0,0,0,0,0.5642067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3046716,15.9444821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9634394,0.9365832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA-0038,1.3914096,0.6856221,0,0,0,3.7709216,0,0,17.4631982,0,7.2595281,1.9862876,0.3932244,0,0.9578544,0,4.3153862,4.9405122,0,31.810849,0,0,0,0.7562008,0.2419843,2.8533979,0,0.6553741,1.784634,0,0,0,0,0,0,0,0,2.1375277,0,0,0.3730591,0,0.2520669,0,5.041339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3226457,0,1.0889292,0,0,0,0,8.8929219,0,0,0,0,0,0,0.625126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA-0042,1.40780467,0.60687319,0,6.35452685,13.3159269,0.25051161,0,0,0,0.78328982,3.64123915,0,0,0,0,2.26518947,9.27245784,0.16230329,0,40.19476395,0,0,0,0,0,2.02526286,0,1.35840802,5.96993861,0,0,0,0,0,0,0,0.68096817,3.46482252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08877285,0,0,0,0,0,0,0,0,0,0,4.66092725,0,0,0,0,0,0,0.71272317,0.78328982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA-0063,0,0,0,0,0,3.5173664,0,0,0,8.215353,0.3821094,0,0,0,0,0,8.3672169,0,0,48.5034047,0,0,0,0,0,1.5480331,0,1.3275854,5.5895753,0,1.126733,0,0,0,0.6221525,0,3.2332337,1.8223681,0,0,0,0,0.2890315,0.396806,0,0.2351443,0,0,0,0,0,0,0,0,0,0,0,0.2498408,0,0,12.2862882,1.5676285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1420663,0,0,0,0,0.578063,0,0,0,0,0,0,0,0,0,0,0,0,0
BA-0072,0,0,0,0,6.99381406,0.98328871,0,0,0,0,0.36007756,0,0,0,0,0,0.30468101,0,17.556089,3.31456005,0,0.09232758,0,0,0,0,0,0,2.91293509,0,0,0.25390084,0,0,0,0,0.14772413,0.27236636,0,0,0,0,0,0,0,0,0,0.32314652,0,0,0,0,4.37632721,13.19822731,0,0,0,6.9384175,0.23543532,0,20.00738621,0.27698273,0.61859477,0,0,0,0.05539655,0,0,0,7.91247346,3.31456006,2.87138768,3.13452128,0,0,0,0.23081895,0,0,0,0,0,0.86326286,0.93712492,0,0,0,0,0,0,0,0.56781461,0,0,0.743237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20312067,0,0,0
BA-0081,0,0.38003891,0,0,0,3.334389,0.17644664,0,3.21675791,0.73293218,0,0.09048545,0,0,3.08102972,0,8.60969099,4.66452518,8.76351626,39.48785232,0.14477673,0.35741755,0,0.36646609,0,3.80491336,0,1.26227209,0.13572818,0.04524273,1.20798082,0,0,0,0,0.28955345,0.46600009,0.99534,0.83699045,0.40718455,0.12667964,0.26693209,0.65601954,0,0,0.65149527,0,0,0,0,0,0,0,0,0.46147582,0,0.07691264,0,0,4.89526309,0,0,0,0.53838845,0,0,0,0,0,0,0,0,2.99506854,0,0,0,0,0,0.24431073,0,0.11310682,3.04031127,0,0,0,0,1.32561191,0,0.45242727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29846627,0,0,0,0,0,0
BA-0082,0,0.42754619,0,0,0,4.36402504,0.12520996,0,0.25347381,0.36036036,0,0.12826386,0.4428157,0.13437166,2.71186441,0,3.45396244,3.73186746,8.23026416,34.24644984,0.39700718,0.31760574,0,0.9100626,0.64131928,4.2693541,0,0.9039548,7.02397313,1.13605131,3.45701634,0,0.36036036,2.13773096,0.12826386,0.59245686,0.64131928,0.4397618,0.20461139,0.216827,0,0.37868377,0.64742709,0,0,0,0,0,0,0,0.39700718,0,0,0,0.62910368,0,0,0.24125821,0,2.87677508,0,0,0,0.64437319,0,0.69323561,0,1.06275767,0.06718583,0.23820431,0,0,1.92395786,0,0,0.20155749,0,0,0.54970224,0.10077874,0.27790502,2.2446175,0,0,0,0.38784547,0.80622996,0.08856314,0,0.78790655,0,0,0,0,0,0,0.03970072,0,0.41227668,0,0,0,0,0,0.09772484,0.40311498,0,1.41395633,0,0,0,0,0,0
BA-0158,0,0.78538063,0,0,0.03593245,4.95867768,0,0,0,7.31481957,0,0,0,0,0,0,0,0.13346337,0,42.33868898,0.27205996,0,0,0,0.57491915,2.89512859,0,0.04106565,0,0,0,0,0,0,0,0,1.23710282,2.135414,0,0,0,0,1.16523792,0.6878497,0,0,0,0,0,0,3.09019044,0.27205996,0,5.70299266,0,0,0,0.28745958,0,2.12514758,4.60961963,0,0,0,7.75627535,0.04106565,0,0,0,0,6.26251219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67342539,0,0,0,0.01026641,0,0,0,0,0,0,0,2.18161285,0,0,0,0,0.74431497,0,0,0.01026641,0.51845388,0,0,0,0.13859658
BA-0169,0,1.07380399,0.54491546,1.19801266,0,5.34497957,0,0.268451,0.5889895,0,0,0,0.90552128,3.56599087,0.72922509,2.9048802,1.47848385,2.59636188,12.17645645,10.48962256,0,1.68282715,1.02572322,0,0.36060582,0.2043433,0,0,5.08854876,0.44074045,1.01770975,0,2.36797821,1.4584502,0.536902,0,1.33424152,0.68515105,1.41036942,0,0,4.96834682,0,0,0,0.56094238,0.10016828,0.9215482,0.35259236,0,0,0,0,0,0,0.23239042,0,0,0,5.44915458,0,1.07380399,0,0.29649812,0.15626252,0,0,0.28047119,0.11619521,0.55292892,0.56094238,0,0,0,3.49787643,0,0.14824906,0,0,0,0.26444427,3.82242167,0.98966263,2.3158907,0,0.31252504,0.536902,0,0,0,0.3966664,1.5866656,0,1.89518391,0.27245773,0,0,0,0.22838368,0.34457889,0,0.93356839,1.31420787,0.63707028,0,0.4607741,2.5723215,0,0,0,0,0.22037022,0.14824906,0
JO-0831,0,0,0,0,4.1338112,0.7168459,0,0,0,0,0.8721625,0,0,0,0,0,6.2365591,0,62.6284349,11.6606929,0,0,0,0,0,2.3894863,0,0,0,0,0,0,8.7694146,0,0,0,0,0,0,0,0,0,0,0,1.9354839,0,0,0.442055,0,0,0,0.2150538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JO-0914,0,0,0,2.8611727,2.8410236,6.9111425,0,0,0,0,0.5037276,0,0,0,0,0.2216401,8.0294177,0.1208946,23.0304251,13.1372154,0,0.5238767,0,0,0,9.460004,3.1835583,0,0,0,0,0,4.8458594,0,0,0,2.4581906,0,0,0,0,0,0.674995,0.3123111,5.9036873,0,0,2.5891598,0,0,0,0.2317147,0,0,0,0,1.2089462,0.382833,0,1.5414064,0,5.6921217,0,0,0,0,0,2.5488616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0